iter	Passed	Remaining
444	1137	1419
445	1139	1414
446	1140	1410
447	1141	1406
448	1143	1403
449	1145	1399
450	1146	1395
451	1148	1392
452	1149	1388
453	1150	1384
454	1152	1380
455	1153	1376
456	1155	1372
457	1156	1368
458	1157	1364
459	1159	1361
460	1161	1358
461	1162	1354
462	1164	1350
463	1166	1347
464	1168	1344
465	1170	1341
466	1171	1337
467	1173	1333
468	1175	1330
469	1176	1327
470	1178	1323
471	1179	1319
472	1181	1316
473	1182	1312
474	1184	1308
475	1185	1304
476	1186	1301
477	1188	1297
478	1189	1294
479	1191	1290
480	1192	1286
481	1194	1283
482	1196	1280
483	1197	1277
484	1199	1273
485	1201	1270
486	1205	1270
487	1207	1266
488	1208	1263
489	1210	1260
490	1213	1257
491	1216	1255
492	1219	1253
493	1221	1250
494	1223	1247
495	1226	1246
496	1228	1243
497	1230	1240
498	1232	1237
499	1234	1234
500	1236	1231
501	1237	1228
502	1239	1224
503	1241	1221
504	1242	1218
505	1244	1215
506	1246	1211
507	1248	1209
508	1250	1206
509	1251	1202
510	1253	1199
511	1256	1197
512	1258	1195
513	1260	1191
514	1263	1189
515	1265	1187
516	1267	1184
517	1270	1182
518	1272	1179
519	1274	1176
520	1277	1174
521	1279	1171
522	1281	1168
523	1284	1166
524	1286	1163
525	1288	1160
526	1289	1157
527	1291	1154
528	1293	1151
529	1295	1149
530	1297	1145
531	1299	1143
532	1301	1140
533	1303	1137
534	1305	1134
535	1307	1131
536	1309	1128
537	1310	1125
538	1312	1122
539	1314	1119
540	1317	1117
541	1319	1115
542	1322	1113
543	1324	1110
544	1325	1106
545	1327	1103
546	1330	1101
547	1332	1098
548	1335	1096
549	1337	1094
550	1339	1091
551	1342	1089
552	1344	1086
553	1346	1083
554	1348	1081
555	1351	1078
556	1352	1076
557	1354	1072
558	1357	1070
559	1359	1068
560	1360	1064
561	1365	1063
562	1366	1060
563	1368	1057
564	1370	1055
565	1373	1052
566	1374	1049
567	1378	1048
568	1381	1046
569	1382	1043
570	1385	1040
571	1387	1038
572	1389	1035
573	1392	1033
574	1395	1031
575	1399	1030
576	1403	1028
577	1404	1025
578	1409	1024
579	1412	1023
580	1415	1021
581	1418	1018
582	1421	1016
583	1426	1015
584	1429	1013
585	1432	1012
586	1435	1010
587	1439	1008
588	1443	1007
589	1446	1004
590	1450	1003
591	1453	1001
592	1456	999
593	1458	997
594	1460	994
595	1462	991
596	1464	988
597	1467	986
598	1469	983
599	1471	981
600	1475	979
601	1478	977
602	1480	974
603	1483	972
604	1486	970
605	1489	968
606	1491	965
607	1494	963
608	1496	960
609	1502	960
610	1504	957
611	1507	955
612	1510	953
613	1513	951
614	1516	949
615	1517	946
616	1519	943
617	1521	940
618	1524	938
619	1526	935
620	1528	933
621	1532	931
622	1534	928
623	1538	926
624	1539	923
625	1541	920
626	1544	918
627	1546	915
628	1548	913
629	1552	911
630	1554	909
631	1556	906
632	1559	904
633	1561	901
634	1562	898
635	1564	895
636	1567	893
637	1569	890
638	1570	887
639	1574	885
640	1576	882
641	1577	879
642	1581	878
643	1583	875
644	1585	872
645	1588	870
646	1590	867
647	1593	865
648	1596	863
649	1598	860
650	1599	857
651	1601	854
652	1603	852
653	1605	849
654	1607	846
655	1609	844
656	1611	841
657	1613	838
658	1615	835
659	1617	833
660	1619	830
661	1621	827
662	1622	824
663	1624	822
664	1626	819
665	1628	816
666	1629	813
667	1632	811
668	1634	808
669	1636	805
670	1639	803
671	1642	801
672	1643	798
673	1644	795
674	1646	792
675	1648	790
676	1649	787
677	1651	784
678	1653	781
679	1655	778
680	1656	776
681	1658	773
682	1661	771
683	1664	768
684	1667	766
685	1670	764
686	1672	761
687	1673	759
688	1676	756
689	1679	754
690	1681	752
691	1683	749
692	1686	747
693	1688	744
694	1691	742
695	1693	739
696	1695	736
697	1696	734
698	1698	731
699	1700	728
700	1701	725
701	1703	723
702	1707	721
703	1709	718
704	1711	715
705	1713	713
706	1716	711
707	1717	708
708	1719	705
709	1722	703
710	1723	700
711	1725	697
712	1727	695
713	1729	692
714	1730	689
715	1731	686
716	1733	684
717	1734	681
718	1736	678
719	1737	675
720	1739	672
721	1740	670
722	1741	667
723	1743	664
724	1744	661
725	1745	658
726	1747	656
727	1748	653
728	1750	650
729	1752	648
730	1753	645
731	1754	642
732	1756	639
733	1757	636
734	1759	634
735	1760	631
736	1761	628
737	1762	625
738	1764	623
739	1766	620
740	1767	617
741	1768	615
742	1770	612
743	1771	609
744	1773	606
745	1774	604
746	1775	601
747	1777	598
748	1778	596
749	1780	593
750	1781	590
751	1783	588
752	1784	585
753	1786	582
754	1787	580
755	1789	577
756	1790	574
757	1792	572
758	1793	569
759	1795	566
760	1796	564
761	1797	561
762	1799	558
763	1800	556
764	1802	553
765	1803	551
766	1805	548
767	1807	545
768	1809	543
769	1810	540
770	1812	538
771	1813	535
772	1815	533
773	1817	530
774	1820	528
775	1821	525
776	1823	523
777	1825	521
778	1827	518
779	1829	516
780	1833	514
781	1835	511
782	1837	509
783	1839	506
784	1841	504
785	1842	501
786	1846	499
787	1848	497
788	1850	494
789	1852	492
790	1854	489
791	1855	487
792	1857	484
793	1858	482
794	1860	479
795	1862	477
796	1863	474
797	1865	472
798	1867	469
799	1869	467
800	1870	464
801	1872	462
802	1873	459
803	1876	457
804	1877	454
805	1879	452
806	1880	449
807	1883	447
808	1885	445
809	1886	442
810	1887	439
811	1889	437
812	1891	435
813	1893	432
814	1894	430
815	1896	427
816	1897	425
817	1900	422
818	1901	420
819	1902	417
820	1904	415
821	1905	412
822	1907	410
823	1908	407
824	1909	405
825	1910	402
826	1912	400
827	1914	397
828	1915	395
829	1916	392
830	1918	390
831	1919	387
832	1921	385
833	1922	382
834	1923	380
835	1924	377
836	1926	375
837	1928	372
838	1929	370
839	1930	367
840	1932	365
841	1933	362
842	1935	360
843	1936	357
844	1937	355
845	1939	352
846	1940	350
847	1941	348
848	1943	345
849	1944	343
850	1946	340
851	1947	338
852	1948	335
853	1950	333
854	1951	331
855	1953	328
856	1954	326
857	1955	323
858	1957	321
859	1959	318
860	1960	316
861	1961	314
862	1962	311
863	1964	309
864	1966	306
865	1967	304
866	1969	302
867	1970	299
868	1971	297
869	1973	294
870	1974	292
871	1976	290
872	1977	287
873	1978	285
874	1980	282
875	1981	280
876	1983	278
877	1984	275
878	1986	273
879	1989	271
880	1991	268
881	1992	266
882	1994	264
883	1996	261
884	1997	259
885	2000	257
886	2004	255
887	2006	253
888	2010	251
889	2013	248
890	2014	246
891	2016	244
892	2020	242
893	2021	239
894	2025	237
895	2027	235
896	2029	233
897	2030	230
898	2032	228
899	2034	226
900	2035	223
901	2036	221
902	2037	218
903	2039	216
904	2041	214
905	2042	211
906	2044	209
907	2045	207
908	2046	204
909	2048	202
910	2050	200
911	2051	197
912	2052	195
913	2054	193
914	2055	190
915	2057	188
916	2058	186
917	2060	184
918	2061	181
919	2063	179
920	2064	177
921	2066	174
922	2067	172
923	2068	170
924	2070	167
925	2071	165
926	2072	163
927	2074	160
928	2075	158
929	2076	156
930	2078	154
931	2079	151
932	2081	149
933	2082	147
934	2084	144
935	2086	142
936	2087	140
937	2088	138
938	2090	135
939	2092	133
940	2093	131
941	2095	129
942	2096	126
943	2097	124
944	2099	122
945	2100	119
946	2102	117
947	2103	115
948	2104	113
949	2106	110
950	2107	108
951	2109	106
952	2110	104
953	2111	101
954	2112	99
955	2114	97
956	2116	95
957	2118	92
958	2119	90
959	2121	88
960	2123	86
961	2124	83
962	2126	81
963	2127	79
964	2130	77
965	2131	75
966	2133	72
967	2135	70
968	2138	68
969	2140	66
970	2141	63
971	2143	61
972	2145	59
973	2147	57
974	2149	55
975	2151	52
976	2153	50
977	2155	48
978	2156	46
979	2157	44
980	2160	41
981	2162	39
982	2163	37
983	2165	35
984	2167	33
985	2168	30
986	2170	28
987	2171	26
988	2172	24
989	2174	21
990	2175	19
991	2177	17
992	2178	15
993	2180	13
994	2181	10
995	2183	8
996	2184	6
997	2186	4
998	2187	2
999	2189	0
