iter	RMSE
376	4.136295738
377	4.132974252
378	4.1292889
379	4.12690493
380	4.123356102
381	4.118326137
382	4.117654452
383	4.115576327
384	4.112541084
385	4.110026131
386	4.106471658
387	4.10564435
388	4.101487587
389	4.098125461
390	4.096067702
391	4.095829865
392	4.092476355
393	4.089420431
394	4.085575453
395	4.082805114
396	4.078061496
397	4.072875232
398	4.068715338
399	4.068000775
400	4.064022681
401	4.061911475
402	4.061742784
403	4.056798551
404	4.053427691
405	4.047147145
406	4.043483118
407	4.039233113
408	4.037051794
409	4.035403487
410	4.032512523
411	4.029008789
412	4.026471555
413	4.023222307
414	4.021679896
415	4.017472646
416	4.015496514
417	4.010985831
418	4.009822046
419	4.009623603
420	4.005039728
421	4.004511386
422	4.001737877
423	3.998712948
424	3.996312362
425	3.99550272
426	3.99362466
427	3.991725528
428	3.991459834
429	3.988347186
430	3.984291615
431	3.980980346
432	3.980658158
433	3.975146604
434	3.97206287
435	3.971630859
436	3.970425566
437	3.96905819
438	3.966568616
439	3.960326245
440	3.95736718
441	3.953662621
442	3.948974118
443	3.945966107
444	3.94244349
445	3.94047086
446	3.936892609
447	3.93546138
448	3.931841175
449	3.926763551
450	3.925517921
451	3.92369846
452	3.922341171
453	3.921710278
454	3.919973053
455	3.918073919
456	3.914315523
457	3.911067761
458	3.908619103
459	3.9055031
460	3.901644202
461	3.897611888
462	3.895487171
463	3.891377471
464	3.890998078
465	3.88923418
466	3.885454776
467	3.884810309
468	3.881059735
469	3.879760417
470	3.876396443
471	3.875253961
472	3.874029753
473	3.87343458
474	3.870536114
475	3.866973255
476	3.863356443
477	3.862642977
478	3.860443934
479	3.858359706
480	3.856570284
481	3.853111628
482	3.847816765
483	3.843897544
484	3.843300944
485	3.841272784
486	3.837337426
487	3.834128316
488	3.832852343
489	3.831301397
490	3.828745943
491	3.827000017
492	3.825231277
493	3.824670374
494	3.822613559
495	3.822051666
496	3.819653705
497	3.817183515
498	3.814181737
499	3.810563503
500	3.808069772
501	3.804902107
502	3.803993483
503	3.801769252
504	3.799082019
505	3.798768366
506	3.79815218
507	3.796580334
508	3.795523598
509	3.792607139
510	3.791095278
511	3.789090609
512	3.788462132
513	3.786876174
514	3.784130533
515	3.783555057
516	3.782038318
517	3.780558581
518	3.77779358
519	3.774217336
520	3.772360009
521	3.771951047
522	3.770155231
523	3.767464893
524	3.765310269
525	3.761038781
526	3.758859253
527	3.758254031
528	3.757261688
529	3.755353825
530	3.753236229
531	3.751344274
532	3.749245762
533	3.745640372
534	3.742683823
535	3.740233138
536	3.738651842
537	3.735783337
538	3.73531926
539	3.731456977
540	3.726845272
541	3.724055741
542	3.721450981
543	3.71868229
544	3.715351939
545	3.712087249
546	3.708671189
547	3.707170338
548	3.704216185
549	3.702150269
550	3.701472409
551	3.699466851
552	3.698173279
553	3.69574241
554	3.692523041
555	3.690102724
556	3.688123208
557	3.686730874
558	3.682375881
559	3.679918919
560	3.678555779
561	3.676935602
562	3.676009128
563	3.674639558
564	3.670292203
565	3.669464073
566	3.666941747
567	3.664208022
568	3.661351819
569	3.659324211
570	3.655486361
571	3.653436542
572	3.650456718
573	3.64666983
574	3.643436295
575	3.641144855
576	3.639580487
577	3.638148052
578	3.63529139
579	3.632950781
580	3.630655292
581	3.628063317
582	3.624365684
583	3.622103086
584	3.620147946
585	3.617760418
586	3.616979614
587	3.611399058
588	3.609610765
589	3.607407225
590	3.606994985
591	3.601701846
592	3.600633904
593	3.599313665
594	3.59584644
595	3.593605298
596	3.592613663
597	3.589443515
598	3.589089131
599	3.588454473
600	3.585965082
601	3.583034297
602	3.580499068
603	3.578610995
604	3.576085474
605	3.574320081
606	3.573365481
607	3.571390644
608	3.570395183
609	3.569428565
610	3.567015931
611	3.566489029
612	3.56314313
613	3.562640841
614	3.557867075
615	3.555330302
616	3.553356991
617	3.547383897
618	3.546887806
619	3.546044462
620	3.545603061
621	3.545286061
622	3.54279149
623	3.540042831
624	3.539700848
625	3.536019154
626	3.5345363
627	3.532770451
628	3.530024104
629	3.527800568
630	3.525848945
631	3.524308728
632	3.522086463
633	3.519507123
634	3.516717853
635	3.511958144
636	3.50800947
637	3.507870898
638	3.505367732
639	3.503467746
640	3.50182994
641	3.50142873
642	3.499037378
643	3.49848475
644	3.495247271
645	3.494845574
646	3.493436581
647	3.489935598
648	3.486125106
649	3.484595389
650	3.481678368
651	3.480728801
652	3.478937703
653	3.477942917
654	3.475154685
655	3.474895168
656	3.474763521
657	3.471519177
658	3.469942662
659	3.46743764
660	3.465007922
661	3.462463957
662	3.459953595
663	3.457533681
664	3.455052941
665	3.452893197
666	3.45156378
667	3.451324104
668	3.450574982
669	3.447203039
670	3.444544523
671	3.441820441
672	3.440302733
673	3.436272867
674	3.435505857
675	3.433779295
676	3.431390772
677	3.431088793
678	3.428994999
679	3.425439559
680	3.424106413
681	3.422854222
682	3.422002112
683	3.417523985
684	3.415578547
685	3.41372706
686	3.412466112
687	3.409672722
688	3.407755015
689	3.404717414
690	3.403607276
691	3.400676244
692	3.398434707
693	3.398277504
694	3.395305018
695	3.394884325
696	3.393553319
697	3.393158276
698	3.393091107
699	3.391486966
700	3.390076981
701	3.387123563
702	3.384557464
703	3.381698539
704	3.379395636
705	3.376367537
706	3.375453303
707	3.373879185
708	3.373443807
709	3.372934516
710	3.372647652
711	3.369944625
712	3.368816233
713	3.366438122
714	3.364016937
715	3.361835722
716	3.360580522
717	3.360284306
718	3.356447003
719	3.353948914
720	3.35111223
721	3.350057481
722	3.347758637
723	3.347452693
724	3.346602206
725	3.344425351
726	3.342529628
727	3.339672604
728	3.338605472
729	3.334871589
730	3.334647938
731	3.333504239
732	3.332764976
733	3.328381366
734	3.326450894
735	3.326098204
736	3.323935253
737	3.322586198
738	3.320812622
739	3.320652486
740	3.320358302
741	3.317614475
742	3.316998762
743	3.316108521
744	3.312003883
745	3.311345662
746	3.309671033
747	3.308976356
748	3.307326873
749	3.304516845
750	3.299570528
751	3.294895068
752	3.292207695
753	3.290205477
754	3.289763159
755	3.289586368
756	3.289395848
757	3.288651668
758	3.287653582
759	3.285248268
760	3.284991052
761	3.284121102
762	3.283100468
763	3.282755239
764	3.280595369
765	3.279608501
766	3.278188399
767	3.277615584
768	3.276048927
769	3.2740598
770	3.273753914
771	3.271568732
772	3.2706972
773	3.270450837
774	3.268476119
775	3.267209184
776	3.265604303
777	3.265288732
778	3.263324696
779	3.260049724
780	3.259337878
781	3.257641851
782	3.25728509
783	3.255880875
784	3.253762342
785	3.250601125
786	3.250484419
787	3.248418885
788	3.248184378
789	3.246367368
790	3.246009751
791	3.244881503
792	3.244285394
793	3.24419458
794	3.244040332
795	3.241374504
796	3.239619542
797	3.238141345
798	3.234475621
799	3.233205368
800	3.232403773
801	3.230599275
802	3.22969794
803	3.227915358
804	3.227663206
805	3.227320224
806	3.224187029
807	3.223910913
808	3.221634325
809	3.221211474
810	3.219730965
811	3.216401902
812	3.214460119
813	3.213726629
814	3.210986736
815	3.210626244
816	3.209047304
817	3.207775481
818	3.206731537
819	3.206604716
820	3.205182406
821	3.201749209
822	3.200047438
823	3.196521905
824	3.195815669
825	3.193659179
826	3.192351842
827	3.191641272
828	3.18943357
829	3.187807654
830	3.186058514
831	3.185171859
832	3.183817895
833	3.181397568
834	3.180630396
835	3.180449246
836	3.177226084
837	3.174729649
838	3.173853893
839	3.173349133
840	3.172832555
841	3.172786347
842	3.172128591
843	3.171509761
844	3.169096527
845	3.165019287
846	3.161952269
847	3.16060392
848	3.158807292
849	3.158370866
850	3.157384932
851	3.157153132
852	3.157017199
853	3.154001815
854	3.153664816
855	3.153185929
856	3.150727006
857	3.149963567
858	3.147880349
859	3.14647912
860	3.144443187
861	3.144353551
862	3.143075681
863	3.14126865
864	3.138755871
865	3.138472483
866	3.136640008
867	3.136406651
868	3.135799318
869	3.134872572
870	3.134832331
871	3.132678014
872	3.131877985
873	3.131112944
874	3.129081891
875	3.1269603
876	3.124811546
877	3.122757803
878	3.121747216
879	3.12127795
880	3.119542597
881	3.117410601
882	3.114630203
883	3.113216291
884	3.111350874
885	3.110118421
886	3.107996594
887	3.106586474
888	3.105082579
889	3.103136069
890	3.102760885
891	3.102725011
892	3.101110792
893	3.100628444
894	3.09836506
895	3.095895097
896	3.095876107
897	3.094622997
898	3.091201277
899	3.087880865
900	3.087652483
901	3.087601737
902	3.086368729
903	3.084965346
904	3.083675487
905	3.083361706
906	3.080722612
907	3.080637696
908	3.078105537
909	3.077190524
910	3.075211129
911	3.073863654
912	3.073392908
913	3.072540379
914	3.07062022
915	3.069996107
916	3.068250288
917	3.066405945
918	3.063594665
919	3.061945473
920	3.060583635
921	3.060097847
922	3.060067125
923	3.059011544
924	3.057041944
925	3.055171823
926	3.053272654
927	3.053092028
928	3.051535498
929	3.049949886
930	3.049910356
931	3.047896582
932	3.04742497
933	3.047259176
934	3.046675321
935	3.04541446
936	3.042372536
937	3.040072835
938	3.039813834
939	3.038080304
940	3.036661686
941	3.033865713
942	3.03134482
943	3.029125441
944	3.02889522
945	3.026125877
946	3.026032939
947	3.024135862
948	3.021672265
949	3.020136042
950	3.017504439
951	3.01624669
952	3.01590131
953	3.014718272
954	3.01408175
955	3.01285379
956	3.010568137
957	3.008438281
958	3.005664011
959	3.00450746
960	3.004379092
961	3.003564382
962	3.002935335
963	3.002417219
964	3.000591936
965	3.000120859
966	2.999939586
967	2.998037714
968	2.993562216
969	2.991966358
970	2.990986617
971	2.989856418
972	2.988942148
973	2.987585824
974	2.986663134
975	2.985158197
976	2.982432935
977	2.980341735
978	2.979685473
979	2.978115355
980	2.976071874
981	2.973837064
982	2.973280846
983	2.972405604
984	2.970113934
985	2.969936909
986	2.968396939
987	2.967756052
988	2.964932932
989	2.962725271
990	2.960569564
991	2.959099423
992	2.956593025
993	2.955956081
994	2.953385004
995	2.952683151
996	2.949699325
997	2.949677765
998	2.947078505
999	2.946619492
